# HOMER Differential Peaks
# Original Peak File = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt
# Peak File Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT
# Background Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
# Mode = Peaks enriched over background
# Differential peaks = 1729
# Fraction of original peaks = 1.99%
# Original number of peaks = 86750
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 4.00
# Poisson p-value cutoff = 1.00e-04
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 66
# background directory tagAdjust = 190
#
# cmd = getDifferentialPeaks /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
Merged-chr2-181018981-1	chr2	181018927	181019035	+	0.000	0.000	13.0	2.0	6.50	2.08e-07
Merged-chr2-181025553-1	chr2	181025499	181025607	+	0.000	0.000	14.0	1.4	10.00	3.47e-10
Merged-chr3-8811650-1	chr3	8811565	8811736	+	0.000	0.000	6.0	0.2	30.00	7.28e-08
Merged-chr3-10254435-1	chr3	10254377	10254494	+	0.000	0.000	10.0	1.6	6.25	7.15e-06
Merged-chr3-20398774-1	chr3	20398719	20398830	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr3-20661949-1	chr3	20661885	20662013	+	0.000	0.000	17.5	4.0	4.37	1.13e-06
Merged-chr3-20888600-1	chr3	20888545	20888655	+	0.000	0.000	7.0	0.2	35.00	2.08e-09
Merged-chr3-21225200-3	chr3	21225025	21225376	+	0.000	0.000	50.0	11.8	4.24	1.26e-16
Merged-chr3-26978761-1	chr3	26978648	26978874	+	0.000	0.000	11.0	1.6	6.87	1.03e-06
Merged-chr3-28845153-1	chr3	28845079	28845228	+	0.000	0.000	12.0	0.8	15.00	6.45e-11
Merged-chr3-30764950-1	chr3	30764874	30765027	+	0.000	0.000	22.5	3.4	6.62	1.72e-11
Merged-chr3-31953776-1	chr3	31953718	31953835	+	0.000	0.000	10.5	1.0	10.50	1.11e-07
Merged-chr3-32053439-1	chr3	32053340	32053538	+	0.000	0.000	10.0	1.6	6.25	7.15e-06
Merged-chr3-35680671-6	chr3	35680472	35680958	+	0.000	0.000	26.0	5.4	4.81	1.54e-10
Merged-chr3-37780314-1	chr3	37780246	37780383	+	0.000	0.000	10.0	1.6	6.25	7.15e-06
Merged-chr3-38454742-1	chr3	38454663	38454821	+	0.000	0.000	12.5	0.4	31.25	2.35e-14
Merged-chr3-39249430-1	chr3	39249356	39249504	+	0.000	0.000	13.5	1.8	7.50	6.34e-08
Merged-chr3-53977660-1	chr3	53977484	53977837	+	0.000	0.000	43.5	8.6	5.06	5.78e-17
Merged-chr3-54440166-1	chr3	54440089	54440243	+	0.000	0.000	16.5	0.2	82.49	2.57e-25
Merged-chr3-55088559-3	chr3	55088376	55088693	+	0.000	0.000	32.5	3.4	9.56	1.44e-20
Merged-chr3-55420884-1	chr3	55420830	55420939	+	0.000	0.000	21.0	4.0	5.25	1.93e-09
Merged-chr3-57450719-1	chr3	57450664	57450774	+	0.000	0.000	11.0	0.6	18.33	4.99e-11
Merged-chr3-62250522-1	chr3	62250444	62250601	+	0.000	0.000	14.0	2.0	7.00	2.93e-08
Merged-chr3-65132101-1	chr3	65132043	65132160	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr3-65465049-2	chr3	65464935	65465157	+	0.000	0.000	37.5	7.8	4.81	3.81e-14
Merged-chr3-65861592-1	chr3	65861536	65861648	+	0.000	0.000	21.0	4.6	4.56	2.06e-08
Merged-chr3-67671764-1	chr3	67671675	67671854	+	0.000	0.000	13.0	0.8	16.25	3.97e-12
Merged-chr3-69902392-1	chr3	69902294	69902491	+	0.000	0.000	25.0	5.6	4.46	1.54e-09
Merged-chr3-72815435-1	chr3	72815380	72815491	+	0.000	0.000	7.0	0.4	17.50	2.18e-07
Merged-chr3-81774474-2	chr3	81774369	81774571	+	0.000	0.000	25.0	5.8	4.31	3.06e-09
Merged-chr3-82374753-1	chr3	82374687	82374820	+	0.000	0.000	15.0	3.0	5.00	6.71e-07
Merged-chr3-82880548-1	chr3	82880447	82880650	+	0.000	0.000	18.5	4.0	4.62	2.48e-07
Merged-chr3-84211442-1	chr3	84211348	84211536	+	0.000	0.000	12.0	0.6	20.00	2.50e-12
Merged-chr3-86737260-1	chr3	86737189	86737332	+	0.000	0.000	26.5	5.8	4.57	6.75e-10
Merged-chr3-88166130-1	chr3	88166062	88166199	+	0.000	0.000	15.0	3.0	5.00	6.71e-07
Merged-chr3-88614934-1	chr3	88614838	88615030	+	0.000	0.000	11.0	1.8	6.11	3.13e-06
Merged-chr3-88869637-1	chr3	88869579	88869696	+	0.000	0.000	6.0	0.4	15.00	3.81e-06
Merged-chr3-90401251-1	chr3	90401194	90401308	+	0.000	0.000	14.0	1.8	7.78	8.07e-09
Merged-chr3-90873092-1	chr3	90873020	90873164	+	0.000	0.000	8.5	0.2	42.50	5.20e-11
Merged-chr3-91301335-1	chr3	91301275	91301396	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr3-93857219-2	chr3	93857091	93857394	+	0.000	0.000	11.5	2.6	4.42	8.68e-05
Merged-chr3-96515645-2	chr3	96515538	96515749	+	0.000	0.000	19.0	3.6	5.28	1.02e-08
Merged-chr3-96919731-1	chr3	96919623	96919839	+	0.000	0.000	24.0	4.2	5.71	2.64e-11
Merged-chr3-97129812-1	chr3	97129666	97129959	+	0.000	0.000	18.5	4.4	4.20	9.50e-07
Merged-chr3-97371348-1	chr3	97371286	97371410	+	0.000	0.000	12.5	0.4	31.25	2.35e-14
Merged-chr3-98580331-1	chr3	98580266	98580396	+	0.000	0.000	6.0	0.2	30.00	7.28e-08
Merged-chr3-100962710-1	chr3	100962652	100962768	+	0.000	0.000	14.5	1.0	14.50	4.52e-12
Merged-chr3-101204239-1	chr3	101204161	101204317	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr3-101507334-1	chr3	101507231	101507438	+	0.000	0.000	43.5	8.8	4.94	1.28e-16
Merged-chr3-101906284-1	chr3	101906201	101906367	+	0.000	0.000	35.0	8.6	4.07	1.19e-11
Merged-chr3-103886207-1	chr3	103886125	103886289	+	0.000	0.000	21.0	3.6	5.83	3.08e-10
Merged-chr3-104139423-1	chr3	104139340	104139506	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
Merged-chr3-104454322-1	chr3	104454229	104454416	+	0.000	0.000	19.0	3.2	5.94	1.58e-09
Merged-chr3-104795903-3	chr3	104795671	104796121	+	0.000	0.000	77.5	16.6	4.67	4.81e-27
Merged-chr3-107676149-1	chr3	107676059	107676240	+	0.000	0.000	13.0	1.4	9.29	3.49e-09
Merged-chr3-107869123-1	chr3	107869051	107869195	+	0.000	0.000	23.5	5.0	4.70	3.92e-09
Merged-chr3-108475040-1	chr3	108474980	108475100	+	0.000	0.000	14.0	3.0	4.67	3.40e-06
Merged-chr3-108667008-1	chr3	108666918	108667098	+	0.000	0.000	14.5	2.4	6.04	2.60e-07
Merged-chr3-109528841-1	chr3	109528782	109528900	+	0.000	0.000	11.0	1.2	9.17	6.23e-08
Merged-chr3-109698393-1	chr3	109698335	109698451	+	0.000	0.000	9.0	1.0	9.00	1.13e-06
Merged-chr3-110601751-1	chr3	110601695	110601808	+	0.000	0.000	12.0	0.6	20.00	2.50e-12
Merged-chr3-115654077-1	chr3	115653997	115654157	+	0.000	0.000	12.5	3.0	4.17	7.14e-05
Merged-chr3-117121714-1	chr3	117121639	117121790	+	0.000	0.000	10.5	1.8	5.83	1.94e-05
Merged-chr3-121340491-1	chr3	121340396	121340586	+	0.000	0.000	20.0	4.6	4.35	9.50e-08
Merged-chr3-122787044-1	chr3	122786949	122787139	+	0.000	0.000	14.0	3.2	4.37	6.99e-06
Merged-chr3-123337777-1	chr3	123337686	123337868	+	0.000	0.000	12.5	2.2	5.68	3.57e-06
Merged-chr3-126641865-1	chr3	126641780	126641950	+	0.000	0.000	15.5	3.4	4.56	3.03e-06
Merged-chr3-127772130-2	chr3	127772010	127772231	+	0.000	0.000	4.0	0.2	20.00	5.46e-05
Merged-chr3-129716146-1	chr3	129716072	129716221	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr3-129930483-3	chr3	129930325	129930607	+	0.000	0.000	37.5	9.0	4.17	2.38e-12
Merged-chr3-131178879-1	chr3	131178790	131178969	+	0.000	0.000	28.5	3.6	7.92	3.86e-16
Merged-chr3-131753679-1	chr3	131753623	131753735	+	0.000	0.000	9.5	1.4	6.79	1.63e-05
Merged-chr3-133644272-1	chr3	133644175	133644369	+	0.000	0.000	11.5	2.0	5.75	8.31e-06
Merged-chr3-135229355-1	chr3	135229296	135229415	+	0.000	0.000	12.0	2.8	4.29	3.74e-05
Merged-chr3-137761192-1	chr3	137761065	137761319	+	0.000	0.000	16.5	3.8	4.34	2.59e-06
Merged-chr3-143874029-1	chr3	143873931	143874128	+	0.000	0.000	18.5	4.6	4.02	1.76e-06
Merged-chr3-144732265-1	chr3	144732208	144732322	+	0.000	0.000	7.0	0.2	35.00	2.08e-09
Merged-chr3-146049142-1	chr3	146049054	146049230	+	0.000	0.000	26.0	6.2	4.19	2.61e-09
Merged-chr3-151950106-1	chr3	151950047	151950166	+	0.000	0.000	9.5	1.4	6.79	1.63e-05
Merged-chr3-153145131-1	chr3	153145047	153145216	+	0.000	0.000	14.5	2.0	7.25	2.93e-08
Merged-chr3-153744445-1	chr3	153744340	153744550	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr3-154978441-1	chr3	154978360	154978522	+	0.000	0.000	9.5	1.4	6.79	1.63e-05
Merged-chr4-6404316-1	chr4	6404241	6404391	+	0.000	0.000	19.0	3.0	6.33	5.59e-10
Merged-chr4-8758954-1	chr4	8758891	8759017	+	0.000	0.000	4.0	0.2	20.00	5.46e-05
Merged-chr4-9437266-2	chr4	9437178	9437375	+	0.000	0.000	32.5	7.2	4.51	9.87e-12
Merged-chr4-9828289-1	chr4	9828108	9828470	+	0.000	0.000	4.0	0.2	20.00	5.46e-05
Merged-chr4-20112396-1	chr4	20112291	20112501	+	0.000	0.000	12.5	2.0	6.25	1.37e-06
Merged-chr4-21114003-1	chr4	21113914	21114092	+	0.000	0.000	7.0	0.2	35.00	2.08e-09
Merged-chr4-25685112-1	chr4	25685013	25685211	+	0.000	0.000	12.0	2.8	4.29	3.74e-05
Merged-chr4-28104780-1	chr4	28104684	28104876	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr4-32051251-2	chr4	32051123	32051363	+	0.000	0.000	30.0	4.6	6.52	3.40e-15
Merged-chr4-33887638-1	chr4	33887507	33887769	+	0.000	0.000	17.5	4.0	4.37	1.13e-06
Merged-chr4-34221613-1	chr4	34221557	34221669	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr4-35180064-1	chr4	35179970	35180159	+	0.000	0.000	18.5	4.0	4.62	2.48e-07
Merged-chr4-40110091-1	chr4	40110011	40110172	+	0.000	0.000	11.5	1.6	7.19	1.03e-06
Merged-chr4-43848812-1	chr4	43848748	43848876	+	0.000	0.000	9.0	1.4	6.43	1.63e-05
Merged-chr4-44634357-1	chr4	44634249	44634465	+	0.000	0.000	20.5	3.4	6.03	6.97e-10
Merged-chr4-45681876-1	chr4	45681783	45681970	+	0.000	0.000	15.0	1.4	10.71	3.22e-11
Merged-chr4-46280849-1	chr4	46280776	46280922	+	0.000	0.000	13.0	2.8	4.64	7.91e-06
Merged-chr4-47536884-1	chr4	47536793	47536976	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr4-48114421-1	chr4	48114347	48114496	+	0.000	0.000	9.5	1.4	6.79	1.63e-05
Merged-chr4-52805348-1	chr4	52805288	52805408	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr4-54282664-1	chr4	54282565	54282764	+	0.000	0.000	12.0	1.2	10.00	6.18e-09
Merged-chr4-54374840-1	chr4	54374742	54374938	+	0.000	0.000	24.5	5.8	4.22	1.33e-08
Merged-chr4-56740678-1	chr4	56740529	56740828	+	0.000	0.000	22.0	4.8	4.58	8.97e-09
Merged-chr4-57693488-1	chr4	57693392	57693584	+	0.000	0.000	12.0	2.4	5.00	8.46e-06
Merged-chr4-57965022-1	chr4	57964820	57965224	+	0.000	0.000	7.5	1.0	7.50	8.33e-05
Merged-chr4-59452537-1	chr4	59452471	59452604	+	0.000	0.000	28.0	1.4	20.00	1.05e-26
Merged-chr4-60115841-1	chr4	60115748	60115934	+	0.000	0.000	4.0	0.2	20.00	5.46e-05
Merged-chr4-60482076-1	chr4	60481926	60482227	+	0.000	0.000	6.0	0.6	10.00	3.56e-05
Merged-chr4-61897208-1	chr4	61897140	61897277	+	0.000	0.000	14.0	3.2	4.37	6.99e-06
Merged-chr4-65645480-1	chr4	65645417	65645543	+	0.000	0.000	10.0	1.8	5.56	1.94e-05
Merged-chr4-70401639-1	chr4	70401536	70401743	+	0.000	0.000	15.0	3.2	4.69	1.47e-06
Merged-chr4-72123157-1	chr4	72123078	72123237	+	0.000	0.000	13.0	3.2	4.06	3.12e-05
Merged-chr4-72186583-1	chr4	72186470	72186696	+	0.000	0.000	15.0	1.6	9.37	1.98e-10
Merged-chr4-74024872-1	chr4	74024794	74024951	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr4-83254954-1	chr4	83254885	83255023	+	0.000	0.000	16.0	1.6	10.00	1.97e-11
Merged-chr4-83743236-1	chr4	83743180	83743292	+	0.000	0.000	10.5	2.0	5.25	4.65e-05
Merged-chr4-84752748-1	chr4	84752648	84752848	+	0.000	0.000	10.5	1.8	5.83	1.94e-05
Merged-chr4-90319139-1	chr4	90319058	90319221	+	0.000	0.000	4.0	0.2	20.00	5.46e-05
Merged-chr4-94240488-1	chr4	94240429	94240547	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr4-94853462-1	chr4	94853356	94853569	+	0.000	0.000	19.5	3.2	6.09	1.58e-09
Merged-chr4-94853657-1	chr4	94853584	94853731	+	0.000	0.000	21.0	3.2	6.56	3.79e-11
Merged-chr4-95152221-1	chr4	95152136	95152307	+	0.000	0.000	27.0	6.6	4.09	2.19e-09
Merged-chr4-95171718-1	chr4	95171646	95171791	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
Merged-chr4-95584678-1	chr4	95584624	95584733	+	0.000	0.000	17.5	2.8	6.25	8.09e-09
Merged-chr4-98029277-1	chr4	98029176	98029378	+	0.000	0.000	11.0	2.6	4.23	8.68e-05
Merged-chr4-98843439-1	chr4	98843353	98843525	+	0.000	0.000	16.5	1.8	9.17	1.07e-10
Merged-chr4-100419414-1	chr4	100419359	100419469	+	0.000	0.000	12.0	1.8	6.67	4.63e-07
Merged-chr4-101016873-1	chr4	101016814	101016933	+	0.000	0.000	9.5	1.4	6.79	1.63e-05
Merged-chr4-102989526-1	chr4	102989471	102989582	+	0.000	0.000	39.0	8.6	4.53	3.21e-14
Merged-chr4-103026662-1	chr4	103026545	103026779	+	0.000	0.000	47.0	11.6	4.05	5.00e-15
Merged-chr4-103065193-2	chr4	103065080	103065372	+	0.000	0.000	46.0	11.0	4.18	3.18e-15
Merged-chr4-103772236-1	chr4	103772138	103772335	+	0.000	0.000	13.0	1.6	8.12	1.65e-08
Merged-chr4-110122787-1	chr4	110122704	110122870	+	0.000	0.000	10.5	1.2	8.75	5.77e-07
Merged-chr4-111468075-1	chr4	111468010	111468140	+	0.000	0.000	8.5	0.6	14.17	2.29e-07
Merged-chr4-111957741-1	chr4	111957672	111957811	+	0.000	0.000	9.0	1.2	7.50	4.86e-06
Merged-chr4-114484227-1	chr4	114484134	114484320	+	0.000	0.000	21.0	2.4	8.75	1.92e-13
Merged-chr4-115101242-1	chr4	115101161	115101324	+	0.000	0.000	18.0	4.4	4.09	9.50e-07
Merged-chr4-117108658-1	chr4	117108601	117108715	+	0.000	0.000	16.0	3.2	5.00	2.90e-07
Merged-chr4-117723424-1	chr4	117723309	117723539	+	0.000	0.000	12.5	2.8	4.46	3.74e-05
Merged-chr4-118965492-1	chr4	118965435	118965550	+	0.000	0.000	17.5	1.4	12.50	2.29e-13
Merged-chr4-120057335-1	chr4	120057191	120057479	+	0.000	0.000	14.0	2.8	5.00	1.56e-06
Merged-chr4-120477193-1	chr4	120477130	120477257	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr4-121381621-1	chr4	121381552	121381690	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr4-122947434-2	chr4	122947283	122947583	+	0.000	0.000	35.0	7.4	4.73	1.97e-13
Merged-chr4-123034984-1	chr4	123034892	123035076	+	0.000	0.000	29.5	6.8	4.34	2.26e-10
Merged-chr4-125056170-1	chr4	125056076	125056265	+	0.000	0.000	11.0	2.6	4.23	8.68e-05
Merged-chr4-125582303-1	chr4	125582249	125582357	+	0.000	0.000	7.5	0.8	9.37	1.87e-05
Merged-chr4-129051495-1	chr4	129051426	129051565	+	0.000	0.000	11.0	2.4	4.58	4.31e-05
Merged-chr4-129921467-1	chr4	129921392	129921542	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr4-131383830-1	chr4	131383636	131384024	+	0.000	0.000	14.5	3.4	4.26	1.36e-05
Merged-chr4-131619722-1	chr4	131619625	131619820	+	0.000	0.000	9.0	0.4	22.50	4.85e-10
Merged-chr4-132701545-1	chr4	132701457	132701634	+	0.000	0.000	11.0	1.8	6.11	3.13e-06
Merged-chr4-135362034-1	chr4	135361935	135362133	+	0.000	0.000	19.5	2.4	8.12	1.42e-11
Merged-chr4-136215349-1	chr4	136215288	136215411	+	0.000	0.000	11.0	2.4	4.58	4.31e-05
Merged-chr4-136754332-2	chr4	136754203	136754523	+	0.000	0.000	40.0	4.6	8.70	4.50e-24
Merged-chr4-137157184-1	chr4	137157096	137157272	+	0.000	0.000	12.5	2.8	4.46	3.74e-05
Merged-chr4-137402202-1	chr4	137402093	137402311	+	0.000	0.000	8.0	0.4	20.00	1.09e-08
Merged-chr4-139276493-1	chr4	139276425	139276562	+	0.000	0.000	12.5	3.0	4.17	7.14e-05
Merged-chr4-142130349-1	chr4	142130288	142130410	+	0.000	0.000	46.0	9.4	4.89	1.09e-17
Merged-chr4-143305628-1	chr4	143305537	143305720	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr4-145031705-1	chr4	145031616	145031794	+	0.000	0.000	22.0	4.6	4.78	4.25e-09
Merged-chr4-145522362-1	chr4	145522296	145522428	+	0.000	0.000	12.0	2.0	6.00	1.37e-06
Merged-chr4-148500736-1	chr4	148500664	148500808	+	0.000	0.000	12.0	2.8	4.29	3.74e-05
Merged-chr4-149810473-2	chr4	149810093	149810694	+	0.000	0.000	15.0	1.8	8.33	9.61e-10
Merged-chr4-150393271-1	chr4	150393184	150393359	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr4-150733540-1	chr4	150733473	150733608	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr4-150764435-1	chr4	150764381	150764490	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr4-152724971-1	chr4	152724913	152725029	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr4-152754838-1	chr4	152754733	152754943	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr4-154182613-1	chr4	154182430	154182796	+	0.000	0.000	18.5	3.4	5.44	2.34e-08
Merged-chr4-154583481-1	chr4	154583392	154583571	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr5-3627250-2	chr5	3627077	3627374	+	0.000	0.000	33.0	7.2	4.58	2.14e-12
Merged-chr5-9560961-1	chr5	9560792	9561130	+	0.000	0.000	13.0	2.6	5.00	3.63e-06
Merged-chr5-9598818-1	chr5	9598688	9598949	+	0.000	0.000	11.5	1.0	11.50	1.01e-08
Merged-chr5-12667159-1	chr5	12667088	12667231	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr5-14921740-1	chr5	14921588	14921893	+	0.000	0.000	5.0	0.2	25.00	2.18e-06
Merged-chr5-15529851-1	chr5	15529743	15529959	+	0.000	0.000	13.5	1.8	7.50	6.34e-08
Merged-chr5-15672197-1	chr5	15672113	15672281	+	0.000	0.000	5.0	0.2	25.00	2.18e-06
Merged-chr5-16445260-3	chr5	16445104	16445424	+	0.000	0.000	94.0	19.6	4.80	1.06e-33
Merged-chr5-18121138-1	chr5	18121007	18121270	+	0.000	0.000	8.5	0.6	14.17	2.29e-07
Merged-chr5-18657728-1	chr5	18657636	18657820	+	0.000	0.000	7.0	0.4	17.50	2.18e-07
Merged-chr5-20300066-1	chr5	20299988	20300145	+	0.000	0.000	27.5	5.8	4.74	1.44e-10
Merged-chr5-21362005-1	chr5	21361899	21362111	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr5-21602229-1	chr5	21602167	21602292	+	0.000	0.000	19.5	2.2	8.86	3.28e-12
Merged-chr5-22712371-1	chr5	22712303	22712439	+	0.000	0.000	13.5	2.2	6.14	5.96e-07
Merged-chr5-26225319-1	chr5	26225264	26225375	+	0.000	0.000	10.0	1.0	10.00	1.11e-07
Merged-chr5-28873656-1	chr5	28873599	28873713	+	0.000	0.000	9.0	0.8	11.25	1.66e-07
Merged-chr5-29066121-1	chr5	29066065	29066177	+	0.000	0.000	7.0	0.2	35.00	2.08e-09
Merged-chr5-29531381-1	chr5	29531322	29531441	+	0.000	0.000	7.0	0.8	8.75	1.87e-05
Merged-chr5-30394078-1	chr5	30394021	30394136	+	0.000	0.000	10.5	1.4	7.50	2.25e-06
Merged-chr5-30405556-1	chr5	30405498	30405615	+	0.000	0.000	13.0	1.0	13.00	6.37e-11
Merged-chr5-31374376-1	chr5	31374302	31374450	+	0.000	0.000	9.0	0.6	15.00	1.53e-08
Merged-chr5-32329788-1	chr5	32329689	32329887	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr5-33851691-1	chr5	33851633	33851749	+	0.000	0.000	20.0	2.6	7.69	6.95e-12
Merged-chr5-34053890-1	chr5	34053784	34053997	+	0.000	0.000	12.5	3.0	4.17	7.14e-05
Merged-chr5-34560586-1	chr5	34560513	34560660	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr5-37428344-1	chr5	37428283	37428405	+	0.000	0.000	8.0	1.0	8.00	1.03e-05
Merged-chr5-37720180-1	chr5	37720063	37720298	+	0.000	0.000	13.0	1.0	13.00	6.37e-11
Merged-chr5-37747874-1	chr5	37747819	37747929	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr5-37985836-1	chr5	37985761	37985911	+	0.000	0.000	7.5	0.2	37.50	2.08e-09
Merged-chr5-38081264-1	chr5	38081206	38081323	+	0.000	0.000	10.0	1.8	5.56	1.94e-05
Merged-chr5-38394300-1	chr5	38394225	38394376	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
Merged-chr5-38973659-1	chr5	38973546	38973772	+	0.000	0.000	12.0	2.8	4.29	3.74e-05
Merged-chr5-40058441-1	chr5	40058377	40058505	+	0.000	0.000	7.0	0.4	17.50	2.18e-07
Merged-chr5-42685111-1	chr5	42685023	42685200	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr5-53522717-1	chr5	53522621	53522813	+	0.000	0.000	27.0	6.4	4.22	1.15e-09
Merged-chr5-53783959-1	chr5	53783884	53784034	+	0.000	0.000	13.0	2.0	6.50	2.08e-07
Merged-chr5-63272968-1	chr5	63272865	63273072	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr5-64132783-1	chr5	64132727	64132839	+	0.000	0.000	14.0	3.0	4.67	3.40e-06
Merged-chr5-64326697-1	chr5	64326602	64326793	+	0.000	0.000	22.0	3.4	6.47	1.72e-11
Merged-chr5-68747253-1	chr5	68747183	68747323	+	0.000	0.000	25.0	5.2	4.81	3.53e-10
Merged-chr5-74296450-1	chr5	74296361	74296539	+	0.000	0.000	26.0	5.8	4.48	6.75e-10
Merged-chr5-75472843-1	chr5	75472728	75472958	+	0.000	0.000	20.5	2.8	7.32	2.53e-11
Merged-chr5-76347300-1	chr5	76347233	76347367	+	0.000	0.000	12.0	1.8	6.67	4.63e-07
Merged-chr5-76763620-1	chr5	76763525	76763715	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr5-76826101-1	chr5	76826019	76826183	+	0.000	0.000	13.0	1.8	7.22	6.34e-08
Merged-chr5-76881517-1	chr5	76881457	76881578	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr5-77592656-1	chr5	77592594	77592718	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr5-77749143-1	chr5	77749060	77749226	+	0.000	0.000	9.0	1.2	7.50	4.86e-06
Merged-chr5-79811533-1	chr5	79811473	79811594	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr5-80025882-1	chr5	80025816	80025948	+	0.000	0.000	24.5	1.6	15.31	2.76e-20
Merged-chr5-91213828-1	chr5	91213738	91213918	+	0.000	0.000	9.5	1.2	7.92	4.86e-06
Merged-chr5-93282719-1	chr5	93282636	93282802	+	0.000	0.000	22.5	5.0	4.50	1.82e-08
Merged-chr5-95955944-1	chr5	95955865	95956024	+	0.000	0.000	9.0	0.6	15.00	1.53e-08
Merged-chr5-96453891-1	chr5	96453830	96453952	+	0.000	0.000	11.0	0.2	55.00	4.20e-16
Merged-chr5-100994673-1	chr5	100994603	100994744	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr5-102100358-1	chr5	102100301	102100416	+	0.000	0.000	7.0	0.2	35.00	2.08e-09
Merged-chr5-105913569-1	chr5	105913510	105913629	+	0.000	0.000	13.0	3.0	4.33	1.62e-05
Merged-chr5-106603635-1	chr5	106603547	106603723	+	0.000	0.000	13.0	2.2	5.91	5.96e-07
Merged-chr5-108146775-1	chr5	108146691	108146860	+	0.000	0.000	14.0	3.0	4.67	3.40e-06
Merged-chr5-108219432-1	chr5	108219345	108219520	+	0.000	0.000	12.5	2.4	5.21	8.46e-06
Merged-chr5-108784645-1	chr5	108784540	108784750	+	0.000	0.000	9.0	0.6	15.00	1.53e-08
Merged-chr5-108946462-1	chr5	108946389	108946535	+	0.000	0.000	5.0	0.4	12.50	5.72e-05
Merged-chr5-109419670-1	chr5	109419539	109419802	+	0.000	0.000	10.0	1.8	5.56	1.94e-05
Merged-chr5-110571094-1	chr5	110570986	110571202	+	0.000	0.000	12.0	2.4	5.00	8.46e-06
Merged-chr5-110739564-1	chr5	110739478	110739650	+	0.000	0.000	32.5	7.2	4.51	9.87e-12
Merged-chr5-112585217-1	chr5	112585116	112585318	+	0.000	0.000	9.0	1.4	6.43	1.63e-05
Merged-chr5-112777831-1	chr5	112777765	112777898	+	0.000	0.000	9.0	1.2	7.50	4.86e-06
Merged-chr5-113496789-1	chr5	113496688	113496891	+	0.000	0.000	10.0	0.6	16.67	9.15e-10
Merged-chr5-113554566-1	chr5	113554476	113554657	+	0.000	0.000	11.5	2.6	4.42	8.68e-05
